Map,Time,Solution Length,Generated States,Traversed States,Solution
mini_cosmos_30,249.711,292,83641,26436,lluuddrruuluuullddrdrudrddlludrruuluudlluurrdrruuldldddrddlluuruuullddrdrulllddrluurrdrrddllulluuruurrdduurrdlulllddrrudlllddrrudlluurrdddrruululluurrllddrrurruuldrdlulluldrrddlllddrrudlluurrdddrruuluurullulldrrrddlllddrrudlluurrdruurruuldrdluldduululldrrrdrruuldlddlludrruurrdlullulldrrrrurd
mini_cosmos_31,1.074,80,948,369,lluuurrdrdrdllruululldddddrrruullulduuurrdrdrdllrddllluuudddrrruulluldrrruululld
mini_cosmos_32,4.025,91,3952,1417,luurrdrdluullddddrruulrddlluuuluurdrrdrdlddlluuulurddddrruulrddlluuuluurdddrruulrddlluluurd
mini_cosmos_33,81.963,102,51915,13558,llluruurdlddrrruruuldllulddlddrurudrruruuldllddrrurulddlluurrddllllurdrrruulluldrrrddlludllururldldrru
mini_cosmos_34,126.188,151,62256,16632,ruruuldrddlllullururdrrurddrddluludlluluurdrrddlludrruullddrrrrulrdlllluurrdrrdlluulldllurdrdrrllulurddrrurrdlluulrurdlddrrulullldllurdrdrruruldrrddluu
mini_cosmos_35,10.307,106,10199,3539,dllululldddrrudlluuurrurdllldddrrurrruulllrrrddllludrrruulldldruuuldrddldlluuurrduurddlulldddrruuddlluuurr
mini_cosmos_36,15.692,82,14533,4651,dlldluuulluurrdrddulrdlddrurruulldldrluruuldduuullddrrdrddluuulluurrdrdduulullddrr
mini_cosmos_37,12.822,134,8559,3000,dlluullddrluurrddrruulrddlllluurururdldllddrrrruulrddlddlururuululldlddrrlluururrdlddlluurlddrruurrddllrddluurruullllddrrlluurrduruuld
mini_cosmos_38,23.112,58,24710,5459,drrrurulldrdlldllurrlurrurrdldllrruululddurrddlulldrllddru
mini_cosmos_39,11.851,126,10109,3679,ddrruulrddrruulrddlllluuulurrlddrrlluururrdlddlluururdllddddrrrruulllrrrddlllluuulurrlddrrdurrddllldlurruulluururrdlddlluururd
mini_cosmos_40,10.106,96,9564,3061,dddrruuudllururdldlddrrurruulluldldddrruuluururdllddruddrruullruuldduldrrrddlluulldrurrrddlldllu
