Map,Time,Solution Length,Generated States,Traversed States,Solution
mini_cosmos_13,166.265,796,18325,6440,rrrrudlluururdddlllllururrrllldldrrrrrdrdlrululllllururrrurdlllldldrrrrrdrdllrruluuddrdlllrrrululllllururrrurdlllldldrrrrrdrdllllrrrrululllllururrrrddllddrrurdlllldlurrrrrululllllururrrrddllddlludrrrrurdllllluurrddrrrululluurrddlluulldldrrrlllururrrrddlrdrdlrulullrrdrdllrrululllrrrdrdlllrrrululluulldldrrrrllllururrrrdddrdlrulullddrllruurrdrdlrulullddldlurrrllludrruurrdrdlrulullddlluurrrrdrdllrrulullllddrrrllluurrrruulllldldrrrlllururrrrddlruulllldldrddrruurrdrdlrululllllururrddrrdrdllrrulullllddrrudlluurrlllururrrrdddrdllrrululrdrdlllrrrulullrrdrdllllrrrrululllrrrdrdlllldlurrrrrululluulldldrrrlllururrrrddlrdrdllllludrrrrrulullrrdrdllllluurrllddrrrrrululrdrdllluurruulllldldrrrlllururrrrddllrruullddlrrrdrdllllluurrrruullllddrrrrdrdllluurrdrdllllludrrrrrulullllrrrruullddrrdrdllludrrrulull
mini_cosmos_14,921.582,0,96839,34536,Not Found
mini_cosmos_15,25.142,204,11662,3774,rrurrdlruluulldllurrrllldrddrrlluurururdlllldrddrrurrdlruludrdllldlluruurururdddldldlurrurrdllldllurrludrrlluulurrlldrddrrurrdllldluuurururddulldllurrrllldrddrrrrulrdlllluurururdddrdllldluudrrrruluulllldr
mini_cosmos_16,81.009,304,36517,12184,rrurrdllldllurrluururldlddrrlluurururdlldlddrrurrdlruludrdllldlluruurururdddldlrurrdlruluulldllurrrllldrddrrlluurururdlllldrddrrurrdlruludrdllldluuurururdddrdlruluulldllurrlldrddrrurrdlruluulrddrdllrruluullrrddrdlllrrruluulldllurrrurdddldldluudrrurrdlruluulllldrlurrrrddrdllldluuulurrrurddulllldrddrrrrul
mini_cosmos_17,64.652,277,28531,8100,rrululldldrdllldlddrurudllururldldrrurudllururrrllldldrruruuurrdrddlulluldrdlrulldrrulururrdrdlrululldldrrllldrdlrurulldldrrurulururrdrdlrululldldrdllldlddrurururulururrdrdllrrululldldldrrulldrdldllurldrrurururrrululldldldrrurrrululldurrdrdllldldlrururrrululldldldldrrulurldrru
mini_cosmos_18,900.014,0,223438,66216,Not Found
mini_cosmos_19,77.416,370,22383,6181,rdllulurrdrdllulllurrudlldrrrrulluurrullrrdllllurrlldrrddrrdrdllulllurruurrullrrdlllluurdrrrdllddlldrrrrulluurrulllldrrddrrdrdllulllurruullurrrrdlrulldddlldrrrdrrullrulrdrdllululldrrrlllurrudrddrrullrulllldrrllurruurrullrrdllllurrlldrrddrrdlrulllldrrrlllurruurrulrdllddrddrrullrulluurrullrrdlllluurdrrrdllddrrdrdllulrrulllldrrrlllurruurrulllldrrllurrrrdlrulldddrdlrdrrul
mini_cosmos_20,920.98,0,187265,53017,Not Found
mini_cosmos_21,20.177,143,12555,3524,rrulrudldllurldrrruuurulrdlllulurrdrrdlddlrdrdllullurrlldrrruuurullulldrdrlulurrdrdddllldrrdrrullrullldrlurrruurullldrlurrddddldrlurullldrlurrd
mini_cosmos_22,269.324,263,91543,26545,rrulrudldllurldrrruuurulrdlddlruurullrrdlddldllurldrrruuurullulldrdrlulurrdrdddldllurrlldrrdrrullrullldrrllurrrudllldrrdrrullrullldrlurrruurulrdlddllldrrllurrruurullrrdlddllldrrdrrullrullldrlurrruurullulldrdrlulurrdrddddlruuurullldrlurrdddlddrululldrlurrdruuurull
mini_cosmos_23,129.476,723,23544,7449,rruuulllldlrurrrrdddrdldllulullulluurdlurrrrrrrdddrdldllululluurulrrrrrdddrdldllululluulldrlurrrurrrrdddrdldllulullulluurrrrrrlllllldrdrururrrurdlllllrrrrrdddlllllulluurrrrrrlllllldrrddrrrddrrurulrdldllulurrllllullurrrurrrurdllllllldrrddrrrddrrurulrdldlluluruuurrdddlruuullllllldrrddrrrldrdrruulrrdldllulullullurrrurrrrdduullllllldrrddrrdrdrrurulrdldllulullullurrrurrdddlllullurrrurrrrdddllrrrdldlluurruuullllllldrrddrrrrllllullurrrurrrrdddllldrdrruurdldllulurudrrrdldllulullullurrrurrrrdddllldrdrrurulrdldllulurrluuddlllullurrrurrllllldrrddrrrddrrurullrrdldllulullullurrrurrrlllllldrrddrrdrdrrurullllruuururdllllllldrrddrrllullurrrurrdddrrrdldlludrrurullluuurrdddlllrddrrurullrrdldlluurruuullddddlurrruuullllllldrrddrrdruu
mini_cosmos_24,905.771,0,112523,36329,Not Found
mini_cosmos_25,80.14,143,26545,8623,urullldduurrrdlddrdllulldllurrrrllluurlddrrrdrrullruurullldllddrrrllluurrdullddrrlluurrurrrdlddrddluulrudrdllulrruurulrdlddrdllulldllurrrrdruuu
mini_cosmos_26,900.086,0,164937,55385,Not Found
mini_cosmos_27,122.289,529,19781,6371,rrulllludrrrudrdllldlluuruuddrrruulululddduurrdrrulrdlddrdllldlluurrrlllddrrrurrulrdllldlluuruuurrlldddrrlllddrrrurrullrrdllldlluuruuurrdrrullrrdlddrdllldlluurrrlllddrrrurrulllrruurulllrrrdlddrdllldlluurrrlllddrrrurrullruurullluldrrrrdlddrdllldlluurrrlllddrrrurrulllrruurulllldurrrrdlddrdllldlluurrrlllddrrrurruluurulllldduurrrrdlddrdlllurldrrurdllldlluurrrlllddrrrurrulrdllldlluuruuurrrrdlddrdlrullrrdllrrulllrrrdlldllluurrrlllddrrrururdlldlurrruludrdllldlluurrrlllddrrrurrulrdllldlluuruuurrrrdlrulllldddrrlllddrrruruuurullluldd
mini_cosmos_28,900.007,0,107628,35071,Not Found
